,,,,,,,,,
,,all unique parts that need to be ordered,,,,,,,
,,,,,,,,,
,Part (modified),Description,SUM of Quantity Installed,AVERAGE of Quantity Available (manual),Difference,supplier_name,supplier_part_number,supplier_2_name,supplier_2_part_number
,120-00095,"FLANGE NUT, M6 X 1.0, 18-8SS",2,48,46,MCMASTER-CARR,93033A101,,
,120-00104,"RIVET NUT SS, M5 X 0.8MM, 11.5MM LONG",2,58,56,MCMASTER-CARR,93388A130,,
,120-00106,"WASHER, NO. 10, OVERSIZED, 0.69"" OD, ZN PLATED STL",4,46,42,MCMASTER-CARR,91090A125,,
,120-00118,"WASHER, M12, 19MM OD, 18-8 SS",4,0,-4,,,,
,120-00120,"SCREW, M8 X 1.25 X 65MM LONG, FLANGED HEX, ZN",2,0,-2,MCMASTER-CARR,94036A398,,
,120-00130,"SCREW, M6 X 1 MM, 70MM LONG, HEX, CLS 8.8, ZN PLATED",2,23,21,MCMASTER-CARR,91280A352,,
,140-00010,"ADAPTER, 0.125 FNPT X 0.5 MNPT, 316SS",4,2,4,MCMASTER-CARR,4452K164,,
,140-00023,"ADAPTER, 0.25 COMP X 0.5 MNPT, STRAIGHT, 316SS",2,0,-2,Superlok,SMC-4-8N,MCMASTER-CARR,5182K113
,140-00025,"ADAPTER, 0.5 COMP X 0.5 MNPT, 316SS",3,4,5,Superlok,SMC-8-8N,MCMASTER-CARR,5182K135
,140-00034,"ELBOW, 0.5 IN COMP X 0.5 IN COMP, 316SS",18,17,101,MCMASTER-CARR,5182K417,Superlok,SUE-8
,140-00036,"TEE, 0.5 IN COMP, 316SS",12,10,28,Superlok,SUT-8-S316,MCMASTER-CARR,5182K437
,140-00098,"CAP, TRI-CLAMP,  1.5"", 304 SS",3,6,9,DUVA SANITARY,16AMP4-100-150,MCMASTER-CARR,4322K221
,140-00101,"DEIONIZER RESIN BED, MIXED, DOUBLE STANDARD",2,0,-2,ON THE GO,OTG2-SDDI,,
,140-00106,"BAG FILTER HOUSING, SIZE 2, 316SS, 2"" FLANGE, PRM FILTRATION",1,0,-1,PRM Filtration,BFHBFH2SS316LTRIXV2,,
,140-00116,"FAN, AXIAL, 120x120, ATEX, 24VDC",1,0,-1,Mechatronics Fan Group,LPT12A99-BTHR-2EM-EX,,
,140-00120,"BOOST PUMP MOTOR, MARATHON MOTORS, 3/4HP",1,0,-1,Marathon Motors,HG714,,
,140-00121,Pump (RV PD) - Boost,1,0,-1,PROCON,113A060F31CA 250,,
,140-00125,"PUMP, CENTRIFUGAL, CAST IRON, ECOCIRC XL 70-145",1,0,-1,Bell & Gossett,104315,,
,140-00126,"FILTER, BAG, SIZE #2, 5 MICRON",1,0,-1,PRM Filtration,BFPE5P2SX,,
,140-00127,"PUMP, CENTRIFUGAL, SS, ECOCIRC XL N 110-180",2,0,-2,Bell & Gossett, 104476LF,,
,140-00128,"FLANGE, PUMP, 1.5"", SS",3,1,-2,Bell & Gossett,101504LF,,
,140-00129,"RESIN TANK, MIXED BED, OTG2-SDILU",4,0,-4,ON THE GO,OTG2-SDILU,,
,140-00130,"HEAT EXCHANGER, BRAZED PLATE, SWEP, B220Mx120",1,0,-1,SWEP,B220Mx120,,
,140-00131,"UV LIGHT, IN-LINE, 110-240VAC, PURIORON 1000H",1,1,0,PURION GmbH,PURION 1000 H OPD,,
,140-00137,"ADAPTER, 0.5 PUSH X 0.5 MNPT, NYLON, WHITE",2,4,2,MCMASTER-CARR,7852T17,,
,140-00175,"BLOCK CLAMP, 2 IN, PP, DIN 3015-1",5,0,-5,MCMASTER-CARR,3015T32,,
,140-00178,"BLOCK CLAMP, 0.5 IN, PP, DIN 3015-1",6,4,-2,MCMASTER-CARR,3015T23,,
,140-00182,"TRI-CLAMP, WING NUT, 1 TO 1.5 IN, 304SS",42,38,186,DUVA SANITARY,13MHHM-16-24,MCMASTER-CARR,4322K152
,140-00183,"TRI-CLAMP, WING NUT, 2 IN, 304SS",25,37,123,DUVA SANITARY,13MHHM-32,MCMASTER-CARR,4322K153
,140-00219,"TEE, 0.25 IN COMP, 316SS",1,1,0,Superlok,SUT-4,,
,140-00220,"PORT CONNECTOR, 0.25 IN COMP, 316 SS",1,7,6,Superlok,SPC-4,,
,140-00222,"FLANGE, COMPAC, DN50, PIPE SIZE 2 WELD NECK, 316SS",8,0,-8,SWEP,28223 / CD001644,,
,140-00223,"FLANGE, COMPAC, DN50, G 2"", 316SS",4,0,-4,SWEP,28223 / CD001643,,
,140-00227,"ADAPTER, 2"" PIPE FLANGE, 2"" TUBE OD TRI-CLAMP, CLASS 150, 316L SS",4,0,-4,MCMASTER-CARR,50485K866,,
,140-00228,"BALL VALVE, MANUAL, 2 IN TRI-CLAMP, 316SS",3,2,-1,ZORO,3666MMCE020,MCMASTER-CARR,44755K115
,140-00229,"ADAPTER, 1.5 MNPT, 2 IN TUBE TRI CLAMP, 316LSS",6,0,-6,ZORO,EG21-6L2.0X1.5,MCMASTER-CARR,50485K254
,140-00230,"FLANGE, PUMP, 1"", SS",1,0,-1,Bell & Gossett,101502LF,,
,140-00231,"ADAPTER, 1"" MNPT, 1 IN TUBE TRI CLAMP, 316LSS",2,0,-2,ZORO,EG21-6L1.0,MCMASTER-CARR,50485K511
,140-00232,"SPOOL, TRI-CLAMP, 2"" TUBE, 4"" LONG, 316LSS",1,0,-1,MCMASTER-CARR,50485K76,,
,140-00233,"ADAPTER, 2"" ID BLOCK CLAMP, SCREW MOUNT",5,0,-5,MCMASTER-CARR,3015T186,,
,140-00234,"CLAMP, ROUTING, VIBRATION DAMPING, 2"" ID",4,0,-4,MCMASTER-CARR,11355T76,,
,140-00235,"CLAMP, STANDOFF, ADJUSTABLE, PIPE SIZE 12",2,0,-2,RELINER-DURAN,12SS40 ,MCMASTER-CARR,3116T75
,140-00236,"CLAMP, STANDOFF, ADJUSTABLE, PIPE SIZE 10",2,0,-2,RELINER-DURAN,10SS40-900,MCMASTER-CARR,3116T74
,140-00237,"SPOOL, TRI-CLAMP, TEE REDUCER, 2"" TO 1"" TUBE, 316LSS",4,0,-4,GETPIPE,SS7RMP-2X1-316L,MCMASTER-CARR,50485K295
,140-00238,"SPOOL, TRI-CLAMP, 90 DEG ELBOW, 2"" TUBE, 316LSS",3,1,-1,GETPIPE,SS2CMP-2-316L,MCMASTER-CARR,50485K113
,140-00239,"SPOOL, TRI-CLAMP, SHORT TEE, 2"" TUBE, 316LSS",2,0,-2,ZORO,S7MPS-2-PL-316,MCMASTER-CARR,4759K848
,140-00247,"GASKET, TRI-CLAMP, 2 IN TUBE OD, FKM CORE, PTFE ENVELOPE, WHITE",25,37,123,DUVA SANITARY,A40MPGR-SFY-200,,
,140-00248,"ADAPTER, G0.5 X 1-1.5 SANITARY FLANGE, IFM, E43311",2,0,-2,IFM,E43311,,
,140-00249,"ADAPTER, G0.5 X 0.75 NPT, IFM, E43313",5,10,25,IFM,E43313,,
,140-00250,"BRACKET, 4 CYLINDER, WALL-MOUNT, WITH STRAP",1,0,-1,MCMASTER-CARR,2283T18,,
,140-00251,"ADAPTER, 2"" TUBE SANITARY FLANGE, SIZE 2 BUTT WELD PIPE, 316L SS",8,0,-8,MCMASTER-CARR,50485K858,,
,140-00252,"BRACKET, 2 CYLINDER, WALL-MOUNT, WITH STRAP",1,0,-1,MCMASTER-CARR,2283T72,,
,140-00253,"STRUT BRACKET, 90 DEGREE, 3 HOLE, STEEL",25,4,-21,MCMASTER-CARR,33125T136,,
,140-00256,"STRUT CLAMP, PIPE SIZE 0.75, 1"" ID, ZINC-PLATED STEEL",6,0,-6,MCMASTER-CARR,3115T15,,
,140-00257,"GASKET, TRI-CLAMP, 1 IN TUBE OD, FKM CORE, PTFE ENVELOPE, WHITE",42,8,6,DUVA SANITARY,A40MPGR-SFY-100,,
,140-00258,"TEE, SHORT, TRI-CLAMP, 1"" TUBE OD, 316 SS",5,0,-5,ZORO,S7MPS-1-PL-316,MCMASTER-CARR,4759K846
,140-00259,"ELBOW, 90 DEGREE, TRI-CLAMP, 1"" TUBE OD, 316 SS",9,0,-9,DUVA SANITARY,2CMP6-100,MCMASTER-CARR,50485K111
,140-00260,"SPOOL, TRI-CLAMP, 1"" TUBE OD, 18 IN LONG, 316 SS",3,0,-3,MCMASTER-CARR,50485K73-50485K733,,
