Part Number,Description,Qty Required,Preferred Vendor,Notes
100-00486,"UNISTRUT, 1-5/8 X 1-5/8, SLOTTED, STEEL, POWDER COAT, WHITE, 13"" LONG",,,
100-00507,RO MEMBRANE FLUSH PUMP BRAKCET,,,
120-00011,"FLANGE NUT, M8 X1.25, CLASS 8 ZP",,MCMASTER-CARR,supplier PN: 90374A114
120-00013,"SCREW, M5 X 0.8 - 16 MM, FLANGE HHCS, CLASS 8.8 ZYP",,MCMASTER-CARR,supplier PN: 94036A522
120-00048,"SCREW, M6 X 1.0 X 20 MM, BHCS, ZN",,BELMETRIC,supplier PN: SB6X20CLZ
120-00049,"SCREW, M5 X 2.24 MM, 12MM LONG, THREAD FORMING, STEEL, ZN PLATED",,MCMASTER-CARR,supplier PN: 90380A388
120-00050,"NUT M6 X 1 MM, FLANGED, CLASS 10, STEEL, ZN PLATED",,MCMASTER-CARR,supplier PN: 95003A101
120-00052,"WASHER, SEALING, 0.5 IN, PTFE, WHITE",,MCMASTER-CARR,supplier PN: 96371A207
120-00053,"WASHER, SEALING, 0.25 IN, PTFE, WHITE",,MCMASTER-CARR,supplier PN: 96371A201
120-00055,"WASHER, SEALING, 0.5 IN, 18-8SS, NEOPRENE",,MCMASTER-CARR,supplier PN: 94709A518
120-00056,"FLANGE NUT, M6 X1, CLASS 8 ZP",,MCMASTER-CARR,supplier PN: 90374A112
120-00057,"SCREW, 10-32, 3/8 LONG, BUTTON HEAD, 18-8SS",,MCMASTER-CARR,supplier PN: 92949A263
120-00058,"SCREW, M6 X 1.0, 20MM LONG, HEX FLANGE, CLASS 8.8, ZN",,BELMETRIC,supplier PN: BF6X20CLZ | alt: MCMASTER-CARR 94036A221
120-00059,"SCREW, M6 X 1.0, 20MM LONG, BUTTON HEAD, 18-8SS",,MCMASTER-CARR,supplier PN: 92095A240
120-00060,"SCREW, M4 X 0.7, 14MM LONG, CLASSS 10.9, BUTTON HEAD, ZN-PLATED STL",,MCMASTER-CARR,supplier PN: 91306A728
120-00062,"SCREW, M4 X 0.7, 45MM LONG, CLASSS 8.8, HEX HEAD, ZN-PLATED STL",,MCMASTER-CARR,supplier PN: 91280A149
120-00064,"SCREW, M8 X 1.25, 25MM LONG, CLASSS 8.8, HEX HEAD, FLANGED, ZN-PLATED STL",,MCMASTER-CARR,supplier PN: 94036A425
120-00065,"WASHER, M4, 9 MM OD, 18-8 STAINLESS",,MCMASTER-CARR,supplier PN: 93475A230
120-00066,"SCREW, 1/2-13, 25.4MM LONG, ZN-PLATED STL, HEX HEAD, FLANGED",,MCMASTER-CARR,supplier PN: 92979A463
120-00067,"SCREW, 3/8-16, 25.4MM LONG, ZN-PLATED STL, HEX HEAD, FLANGED",,MCMASTER-CARR,supplier PN: 92979A344
120-00073,"SCREW, M5 X 0.8 - 10 MM, BHCS, CLASS 8.8 ZP",,MCMASTER-CARR,supplier PN: 91306A757
120-00075,"SCREW, M10 X 1.5 X 25 MM, HHCS FLANGED, CLASS 10.9, ZN",,MCMASTER-CARR,supplier PN: 93474A222
120-00077,"SCREW, M12 X 1.75 X 30 MM, HHCS FLANGED, CLASS 10.9, ZN",,MCMASTER-CARR,supplier PN: 93474A232
120-00078,"SCREW, M12 X 1.75 X 45 MM, HHCS FLANGED, CLASS 8.8, ZN",,MCMASTER-CARR,supplier PN: 94036A467
120-00079,"SCREW, M14 X 2 X 45 MM, HHCS, CLASS 8.8, ZN",,MCMASTER-CARR,supplier PN: 91280A784
120-00080,"SCREW, M16 X 2 X 55 MM, HHCS, CLASS 8.8, ZN",,MCMASTER-CARR,supplier PN: 91280A845
120-00081,"SCREW, 3/8-16, 2.75 IN LONG, ZN-PLATED STL, HEX HEAD",,MCMASTER-CARR,supplier PN: 91247A635
